DRUG2,Abacavir,Acyclovir,Adefovir,Adefovir dipivoxil,Amantadine,Amprenavir,Asunaprevir,Atazanavir,Baloxavir marboxil,Beclabuvir,Bictegravir,Boceprevir,Brivudine,Calanolide A,Carmofur,Chloroquine,Cidofovir,Clevudine,Cobicistat,Daclatasvir,Darunavir,Dasabuvir,Delavirdine,Dexamethasone,Didanosine,Docosanol,Dolutegravir,Doravirine,Edoxudine,Efavirenz,Elbasvir,Elvitegravir,Elvucitabine,Emtricitabine,Enfuvirtide,Entecavir,Etravirine,Faldaprevir,Famciclovir,Favipiravir,Fomivirsen,Fosamprenavir,Foscarnet,Ganciclovir,Geldanamycin,Glecaprevir,Grazoprevir,Hydroxychloroquine,Ibalizumab,Ibuprofen,Idoxuridine,Imiquimod,Indinavir,Inosine pranobex,Interferon alfa,"Interferon alfa-2a, Recombinant",Interferon alfa-n1,Interferon alfacon-1,Interferon beta-1a,Lamivudine,Laninamivir,Laninamivir octanoate,Ledipasvir,Leronlimab,Letermovir,Lopinavir,Maraviroc,Maribavir,Metisazone,Moroxydine,Nelfinavir,Nevirapine,Ombitasvir,Oseltamivir,Palivizumab,Paritaprevir,Peginterferon alfa-2a,Peginterferon alfa-2b,Peginterferon alfacon-1,Penciclovir,Peramivir,Phosphonoacetic Acid,Pibrentasvir,Pleconaril,Podofilox,Raltegravir,Remdesivir,Ribavirin,Rilpivirine,Rimantadine,Ritonavir,Saquinavir,Simeprevir,Sinecatechins,Sofosbuvir,Stavudine,Taribavirin,Tecovirimat,Tegobuvir,Telaprevir,Telbivudine,Tenofovir,Tenofovir alafenamide,Tenofovir disoproxil,Tenofovir disoproxil fumarate,Tipranavir,Triazavirin,Trifluridine,Tromantadine,UC-781,Umifenovir,Valaciclovir,Valganciclovir,Valomaciclovir,Vaniprevir,Velpatasvir,Vidarabine,Voxilaprevir,Zalcitabine,Zanamivir,Zidovudine
Abacavir,1.0,0.501832,0.414474,0.414474,0.15625,0.051724,0.151603,0.053352,0.095238,0.12069,0.132075,0.158088,0.246459,0.134454,0.126005,0.192893,0.22807,0.25,0.07753,0.169014,0.065574,0.0,0.111111,0.122449,0.457627,0.130221,0.160896,0.141079,0.253644,0.157635,0.130536,0.156187,0.366667,0.28125,0.0,0.554054,0.168831,0.165312,0.509434,0.166667,0.0,0.048387,0.0,0.514085,0.107325,0.165563,0.160221,0.246753,0.0,0.0,0.261261,0.358025,0.111111,0.151242,0.0,0.0,0.0,0.0,0.0,0.290323,0.188119,0.130952,0.136891,0.0,0.144279,0.070381,0.192661,0.240695,0.138889,0.028571,0.15917,0.266846,0.0,0.15869,0.0,0.191136,0.0,0.0,0.0,0.616541,0.105882,0.0,0.10893,0.081633,0.139489,0.113244,0.15,0.284404,0.122661,0.147059,0.053352,0.168437,0.200586,0.0,0.176471,0.318328,0.284404,0.136364,0.166966,0.218354,0.261261,0.442623,0.296703,0.290323,0.252336,0.059908,0.0,0.239669,0.121951,0.0,0.170213,0.325967,0.412429,0.287313,0.142061,0.181486,0.525424,0.129235,0.324503,0.195929,0.246459
Acyclovir,0.443662,1.0,0.551724,0.551724,0.0,0.018868,0.043478,0.059002,0.127273,0.069277,0.125265,0.0,0.350365,0.087963,0.277372,0.139601,0.296296,0.313869,0.083815,0.116006,0.017544,0.0,0.147903,0.057269,0.764706,0.054054,0.133787,0.19403,0.313869,0.117318,0.115242,0.160093,0.399177,0.399177,0.0,0.61157,0.166253,0.09116,0.40411,0.217391,0.0,0.017544,0.0,0.884817,0.0,0.077128,0.067961,0.168091,0.0,0.0,0.325758,0.275862,0.089109,0.196474,0.0,0.0,0.0,0.0,0.0,0.416309,0.073298,0.020408,0.091127,0.0,0.093474,0.047619,0.10687,0.242775,0.176471,0.0,0.034483,0.242236,0.0,0.0,0.0,0.082192,0.101928,0.182266,0.0,0.558442,0.0,0.0,0.077236,0.197917,0.058091,0.156463,0.083916,0.351351,0.186869,0.0,0.07362,0.059002,0.083815,0.0,0.11336,0.338583,0.30597,0.0,0.135029,0.132686,0.325758,0.468254,0.293532,0.286408,0.244813,0.067126,0.0,0.292517,0.083333,0.0,0.111111,0.694215,0.530249,0.260163,0.027397,0.109741,0.617021,0.06274,0.416309,0.075269,0.302817
Adefovir,0.414474,0.551724,1.0,1.0,0.0,0.052632,0.057143,0.057269,0.103448,0.079882,0.160338,0.0,0.171171,0.065217,0.152648,0.186441,0.528926,0.176471,0.107914,0.11588,0.048951,0.0,0.093117,0.0,0.444867,0.025,0.171171,0.131222,0.176471,0.088083,0.090047,0.125541,0.228669,0.232877,0.0,0.389831,0.163895,0.112637,0.34375,0.195219,0.0,0.107011,0.22549,0.397059,0.0,0.073739,0.06469,0.239193,0.0,0.0,0.182109,0.382979,0.086262,0.149289,0.0,0.0,0.0,0.0,0.0,0.236749,0.0,0.019608,0.053228,0.0,0.107266,0.086262,0.102941,0.139241,0.132075,0.0,0.033333,0.22093,0.0,0.0,0.0,0.08,0.074169,0.125541,0.0,0.450382,0.0,0.181818,0.064039,0.188119,0.039216,0.120507,0.103448,0.170886,0.152941,0.0,0.099237,0.055718,0.066482,0.0,0.108949,0.184211,0.201299,0.0,0.147228,0.102603,0.182109,0.940299,0.346633,0.506849,0.425287,0.064892,0.0,0.166181,0.151685,0.0,0.106195,0.423841,0.315789,0.223709,0.026667,0.116505,0.520913,0.05985,0.236749,0.0,0.171171
Adefovir dipivoxil,0.414474,0.551724,1.0,1.0,0.0,0.052632,0.057143,0.057269,0.103448,0.079882,0.160338,0.0,0.171171,0.065217,0.152648,0.186441,0.528926,0.176471,0.107914,0.11588,0.048951,0.0,0.093117,0.0,0.444867,0.025,0.171171,0.131222,0.176471,0.088083,0.090047,0.125541,0.228669,0.232877,0.0,0.389831,0.163895,0.112637,0.34375,0.195219,0.0,0.107011,0.22549,0.397059,0.0,0.073739,0.06469,0.239193,0.0,0.0,0.182109,0.382979,0.086262,0.149289,0.0,0.0,0.0,0.0,0.0,0.236749,0.0,0.019608,0.053228,0.0,0.107266,0.086262,0.102941,0.139241,0.132075,0.0,0.033333,0.22093,0.0,0.0,0.0,0.08,0.074169,0.125541,0.0,0.450382,0.0,0.181818,0.064039,0.188119,0.039216,0.120507,0.103448,0.170886,0.152941,0.0,0.099237,0.055718,0.066482,0.0,0.108949,0.184211,0.201299,0.0,0.147228,0.102603,0.182109,0.940299,0.346633,0.506849,0.425287,0.064892,0.0,0.166181,0.151685,0.0,0.106195,0.423841,0.315789,0.223709,0.026667,0.116505,0.520913,0.05985,0.236749,0.0,0.171171
Amantadine,0.15625,0.0,0.0,0.0,1.0,0.061571,0.127695,0.0,0.017544,0.116667,0.113636,0.11349,0.122449,0.0,0.0,0.0,0.0,0.0,0.0,0.092564,0.073559,0.0,0.0,0.170213,0.09215,0.0,0.090047,0.0,0.126761,0.176471,0.068323,0.0,0.0,0.034483,0.0,0.170569,0.0,0.091703,0.0,0.0,0.0,0.056751,0.0,0.0,0.144068,0.096866,0.119632,0.0,0.0,0.0,0.131387,0.0,0.139706,0.0,0.0,0.0,0.0,0.0,0.0,0.035714,0.0,0.0,0.101266,0.0,0.0,0.0,0.173913,0.0,0.0,0.0,0.149897,0.090909,0.0,0.202749,0.0,0.109467,0.0,0.0,0.0,0.0,0.25,0.0,0.068063,0.0,0.138015,0.0,0.0,0.0,0.0,0.75,0.0,0.124361,0.116352,0.0,0.0,0.0,0.0,0.164021,0.0,0.116751,0.131387,0.0,0.0,0.0,0.0,0.153082,0.0,0.118421,0.58371,0.0,0.0,0.0,0.0,0.0,0.092308,0.095541,0.0,0.09116,0.102662,0.0,0.122449
Amprenavir,0.051724,0.018868,0.052632,0.052632,0.061571,1.0,0.262003,0.339286,0.257669,0.287129,0.128284,0.149773,0.096154,0.124161,0.031895,0.295896,0.145833,0.031308,0.372832,0.355932,0.813953,0.0,0.232877,0.044547,0.142857,0.0,0.170569,0.207815,0.129032,0.190476,0.298701,0.286765,0.038462,0.093117,0.0,0.064982,0.207207,0.327078,0.153119,0.021277,0.0,0.89781,0.0,0.072797,0.089385,0.230207,0.223203,0.289641,0.0,0.209302,0.129363,0.30137,0.293233,0.202929,0.0,0.0,0.0,0.0,0.0,0.118143,0.148776,0.164725,0.237458,0.0,0.184971,0.412151,0.262136,0.133094,0.173913,0.086475,0.426025,0.209677,0.0,0.143411,0.0,0.232877,0.265823,0.145833,0.0,0.083172,0.136364,0.0,0.198858,0.222222,0.187291,0.092308,0.265432,0.0,0.187943,0.101695,0.395349,0.365706,0.259947,0.0,0.243781,0.030534,0.0,0.144781,0.162444,0.203209,0.084813,0.126482,0.33829,0.233108,0.208459,0.303657,0.0,0.080074,0.125954,0.0,0.338583,0.205534,0.181989,0.131034,0.271754,0.251422,0.050725,0.18527,0.142241,0.151631,0.122047
Asunaprevir,0.133429,0.043478,0.057143,0.057143,0.102107,0.248304,1.0,0.334981,0.234568,0.276347,0.283498,0.340942,0.164596,0.133333,0.14241,0.176471,0.057971,0.039326,0.276836,0.363636,0.338912,0.0,0.293103,0.137566,0.088235,0.0,0.234222,0.115435,0.152648,0.189024,0.299492,0.141375,0.057269,0.087613,0.0,0.09375,0.103896,0.51751,0.109551,0.114865,0.0,0.293801,0.0,0.042254,0.22293,0.498741,0.57967,0.173848,0.0,0.12,0.126543,0.134644,0.287129,0.156522,0.0,0.0,0.0,0.0,0.0,0.09063,0.130186,0.145833,0.301715,0.0,0.157407,0.200924,0.268164,0.167147,0.144674,0.073718,0.299735,0.162444,0.0,0.195652,0.0,0.484772,0.153846,0.083916,0.0,0.042254,0.104816,0.0,0.294964,0.115538,0.149871,0.253521,0.22399,0.05644,0.089744,0.121795,0.275089,0.302774,0.351675,0.0,0.248322,0.040462,0.039886,0.155914,0.103448,0.336634,0.14241,0.056338,0.179554,0.082045,0.075741,0.179245,0.0,0.134328,0.144131,0.0,0.14514,0.094183,0.091644,0.072961,0.529093,0.318229,0.055556,0.504975,0.092308,0.103253,0.121076
Atazanavir,0.053352,0.059002,0.057269,0.057269,0.0,0.339286,0.36536,0.927273,0.25,0.264775,0.10285,0.350954,0.079882,0.204644,0.088957,0.235772,0.111111,0.068249,0.412214,0.489362,0.320225,0.0,0.225627,0.059269,0.057269,0.0,0.125654,0.111111,0.081081,0.070423,0.357759,0.242775,0.059002,0.059002,0.0,0.054852,0.224189,0.290685,0.180982,0.099656,0.0,0.318373,0.0,0.104294,0.042129,0.125,0.315483,0.233974,0.0,0.144781,0.056548,0.166134,0.410788,0.253589,0.0,0.0,0.0,0.0,0.0,0.059908,0.161388,0.173261,0.317427,0.0,0.17506,0.463415,0.185372,0.115819,0.132686,0.0,0.391304,0.169231,0.0,0.138088,0.0,0.256831,0.233766,0.050788,0.0,0.097561,0.149773,0.0,0.297989,0.190131,0.118252,0.292719,0.264516,0.058122,0.227811,0.0,0.462069,0.512126,0.172122,0.0,0.191099,0.070336,0.041056,0.272727,0.146341,0.396574,0.069277,0.107739,0.260745,0.157347,0.144219,0.264516,0.0,0.066282,0.096491,0.0,0.22807,0.127379,0.109551,0.139535,0.264237,0.407821,0.055635,0.307692,0.059908,0.098266,0.067251
Baloxavir marboxil,0.095238,0.127273,0.103448,0.103448,0.017544,0.253823,0.234568,0.235813,1.0,0.253165,0.343284,0.103811,0.132404,0.18859,0.086207,0.168385,0.101399,0.066667,0.285893,0.308176,0.221591,0.0,0.246106,0.112738,0.157324,0.0,0.358885,0.183801,0.09777,0.148649,0.274298,0.315346,0.150278,0.135531,0.0,0.098361,0.25,0.175824,0.111111,0.154639,0.0,0.239193,0.0,0.122807,0.154362,0.175836,0.1959,0.165541,0.0,0.158301,0.158088,0.181818,0.280654,0.133641,0.0,0.0,0.0,0.0,0.0,0.142322,0.0,0.04,0.22428,0.0,0.347305,0.358382,0.191136,0.201354,0.242485,0.146881,0.227336,0.192982,0.0,0.078905,0.0,0.222857,0.046154,0.061224,0.0,0.084746,0.014925,0.0,0.223744,0.174603,0.228616,0.186186,0.179554,0.133094,0.241722,0.016949,0.208385,0.237374,0.216057,0.0,0.199422,0.068966,0.117021,0.237785,0.275964,0.101124,0.099476,0.101695,0.19225,0.13764,0.12532,0.2,0.0,0.094527,0.056782,0.0,0.338028,0.131148,0.126984,0.097561,0.194896,0.30531,0.064516,0.21179,0.144465,0.0,0.132404
Beclabuvir,0.12069,0.069277,0.079882,0.079882,0.116667,0.287129,0.267442,0.206313,0.267606,1.0,0.278409,0.14532,0.109445,0.171548,0.090909,0.21643,0.068249,0.114504,0.271283,0.306358,0.158537,0.0,0.338346,0.177285,0.119632,0.0,0.312217,0.202263,0.14241,0.129032,0.30793,0.234043,0.099071,0.075758,0.0,0.119293,0.203438,0.26087,0.119082,0.079734,0.0,0.271754,0.0,0.067251,0.130952,0.299559,0.365269,0.213064,0.0,0.15192,0.116279,0.239531,0.246973,0.170213,0.0,0.0,0.0,0.0,0.0,0.076923,0.164179,0.144737,0.306122,0.0,0.325301,0.320513,0.376812,0.181684,0.136,0.074919,0.368124,0.208791,0.0,0.11437,0.0,0.37931,0.135693,0.044521,0.0,0.121352,0.101574,0.0,0.302368,0.149584,0.200546,0.232493,0.153846,0.041968,0.174825,0.144279,0.218679,0.38601,0.389578,0.0,0.152882,0.112853,0.0,0.197183,0.197982,0.300122,0.130298,0.091445,0.148387,0.073986,0.068282,0.19421,0.0,0.111111,0.183801,0.0,0.212553,0.06267,0.061008,0.086718,0.306884,0.295918,0.124438,0.337793,0.127214,0.037736,0.126332
Bictegravir,0.151631,0.125265,0.160338,0.160338,0.113636,0.17175,0.294452,0.135204,0.343284,0.29683,1.0,0.190476,0.236203,0.226766,0.285714,0.130268,0.139241,0.211454,0.099415,0.225806,0.152695,0.0,0.252205,0.211573,0.216814,0.0,0.854839,0.285988,0.241535,0.189516,0.201764,0.311787,0.191011,0.175166,0.0,0.223629,0.22905,0.231156,0.104972,0.166253,0.0,0.161388,0.0,0.120163,0.226115,0.17096,0.276596,0.12782,0.0,0.153846,0.22449,0.230769,0.224784,0.17284,0.0,0.0,0.0,0.0,0.0,0.152993,0.176471,0.15,0.237345,0.0,0.248074,0.28593,0.370107,0.255061,0.185682,0.021277,0.336717,0.201629,0.0,0.178862,0.0,0.274382,0.096654,0.0,0.0,0.141079,0.268817,0.0,0.196172,0.24283,0.310861,0.419878,0.191176,0.213483,0.147826,0.108696,0.12801,0.264205,0.228758,0.0,0.256367,0.241218,0.120332,0.332008,0.205008,0.18984,0.247113,0.157025,0.207483,0.118012,0.106443,0.140845,0.0,0.231102,0.176471,0.0,0.211573,0.109057,0.105169,0.091644,0.298343,0.230248,0.177686,0.246944,0.179138,0.199187,0.258427
Boceprevir,0.143376,0.0,0.0,0.0,0.135371,0.149773,0.340942,0.350954,0.103811,0.143911,0.239669,1.0,0.051693,0.090047,0.119843,0.161049,0.079545,0.054545,0.158901,0.281046,0.185185,0.0,0.217105,0.176471,0.072089,0.0,0.19403,0.0,0.046931,0.107143,0.229418,0.142857,0.09375,0.135903,0.0,0.042735,0.0,0.309987,0.041322,0.157407,0.0,0.141227,0.0,0.046931,0.100413,0.318822,0.294118,0.125,0.0,0.065089,0.047794,0.12381,0.242938,0.107955,0.0,0.0,0.0,0.0,0.0,0.117886,0.133094,0.114551,0.215054,0.0,0.149111,0.187584,0.210287,0.094276,0.0,0.078224,0.293375,0.033333,0.0,0.179884,0.0,0.171694,0.154562,0.0,0.0,0.045045,0.196911,0.0,0.190698,0.0,0.067251,0.226891,0.171548,0.149194,0.0,0.129707,0.244926,0.362963,0.135831,0.0,0.134021,0.09375,0.055556,0.184433,0.0,0.476726,0.047794,0.12381,0.15625,0.046025,0.041931,0.043478,0.0,0.045296,0.155303,0.0,0.0,0.0,0.041667,0.096606,0.296791,0.245829,0.052632,0.301115,0.076321,0.154562,0.046099
Brivudine,0.246459,0.302817,0.171171,0.171171,0.122449,0.096154,0.121076,0.079882,0.096121,0.140216,0.236203,0.051693,1.0,0.196172,0.338028,0.137566,0.338028,0.805556,0.04698,0.114245,0.13806,0.0,0.11336,0.085106,0.494253,0.122995,0.221198,0.175115,0.911765,0.21813,0.123188,0.218391,0.629956,0.528926,0.0,0.4,0.077586,0.174785,0.142857,0.095406,0.0,0.089286,0.0,0.368421,0.103074,0.127517,0.103448,0.19891,0.0,0.111111,0.809524,0.257862,0.076443,0.165279,0.0,0.0,0.0,0.0,0.0,0.545064,0.119593,0.115789,0.091754,0.0,0.136364,0.055046,0.200787,0.373134,0.167192,0.0,0.135135,0.201117,0.0,0.122995,0.0,0.161473,0.0,0.0,0.0,0.368421,0.128609,0.0,0.073892,0.101124,0.134454,0.139241,0.217228,0.352313,0.084599,0.11465,0.05036,0.114504,0.132075,0.0,0.404358,0.796117,0.352313,0.148649,0.115174,0.124807,0.853659,0.197605,0.136364,0.133603,0.137184,0.069079,0.0,0.767241,0.09375,0.0,0.103896,0.151832,0.32948,0.169065,0.087866,0.09027,0.453901,0.101152,0.690141,0.119792,0.724138
Calanolide A,0.134454,0.087963,0.065217,0.065217,0.0,0.124161,0.092545,0.164095,0.18859,0.201717,0.208791,0.090047,0.196172,1.0,0.090909,0.218391,0.036717,0.231156,0.077111,0.146907,0.222031,0.0,0.194853,0.257732,0.169451,0.171171,0.22093,0.164122,0.209877,0.159737,0.157303,0.175373,0.135266,0.13253,0.0,0.206497,0.129944,0.130221,0.077844,0.120219,0.0,0.116352,0.0,0.060606,0.191275,0.163366,0.167315,0.210762,0.0,0.256983,0.165049,0.182033,0.120567,0.13089,0.0,0.0,0.0,0.0,0.0,0.127451,0.156317,0.22807,0.163311,0.0,0.145038,0.151603,0.097372,0.25,0.154791,0.0,0.220736,0.226852,0.0,0.223529,0.0,0.207349,0.019231,0.078717,0.0,0.123853,0.25,0.0,0.086758,0.239496,0.308793,0.185185,0.205788,0.132075,0.107011,0.0,0.097884,0.184023,0.20383,0.0,0.158433,0.160494,0.132075,0.234818,0.217839,0.112601,0.188119,0.041667,0.103565,0.03125,0.028169,0.098097,0.0,0.172414,0.019608,0.0,0.168582,0.075697,0.052632,0.106195,0.156373,0.10515,0.177829,0.197007,0.15,0.159737,0.176471
Carmofur,0.126005,0.277372,0.152648,0.152648,0.0,0.031895,0.057971,0.181364,0.086207,0.090909,0.285714,0.142285,0.338028,0.090909,1.0,0.19883,0.267606,0.350365,0.155015,0.156156,0.031469,0.0,0.122881,0.020833,0.217105,0.142857,0.307692,0.183575,0.401515,0.120219,0.129032,0.128319,0.372549,0.372549,0.0,0.197605,0.162228,0.15942,0.280488,0.294643,0.0,0.029668,0.0,0.217105,0.0,0.102151,0.081831,0.186441,0.0,0.057692,0.417323,0.141141,0.111111,0.129412,0.0,0.0,0.0,0.0,0.0,0.328125,0.173184,0.159091,0.127451,0.0,0.109155,0.181658,0.14786,0.189189,0.151316,0.0,0.125461,0.15493,0.0,0.201201,0.0,0.133144,0.168091,0.041667,0.0,0.271478,0.195335,0.0,0.10766,0.160494,0.056911,0.223529,0.120996,0.142857,0.197007,0.0,0.150729,0.121643,0.067416,0.0,0.204301,0.377953,0.077844,0.081678,0.102804,0.152597,0.363636,0.141141,0.097308,0.095335,0.083481,0.131059,0.0,0.326531,0.081081,0.0,0.161137,0.22093,0.176471,0.206897,0.125926,0.068075,0.164179,0.127517,0.328125,0.178161,0.338028
Chloroquine,0.192893,0.139601,0.186441,0.186441,0.0,0.295896,0.176471,0.235772,0.146712,0.13069,0.130268,0.178707,0.137566,0.193694,0.19883,1.0,0.158192,0.117021,0.198225,0.15007,0.272366,0.0,0.258134,0.0,0.129032,0.119403,0.252796,0.19469,0.122995,0.179487,0.149701,0.214751,0.108033,0.108033,0.0,0.094891,0.224018,0.174033,0.17207,0.201413,0.0,0.272366,0.0,0.160221,0.0,0.086142,0.13079,0.950207,0.0,0.333333,0.096257,0.299094,0.260946,0.15693,0.0,0.0,0.0,0.0,0.0,0.114286,0.042129,0.091618,0.137163,0.0,0.148649,0.190083,0.176471,0.317204,0.298701,0.0,0.176471,0.239892,0.0,0.092233,0.0,0.131824,0.138614,0.034483,0.0,0.193182,0.216931,0.0,0.105627,0.220657,0.128713,0.223176,0.227437,0.073298,0.302211,0.137725,0.212121,0.180124,0.198225,0.0,0.232323,0.123596,0.073298,0.166307,0.180812,0.156773,0.120219,0.187845,0.20332,0.130268,0.114865,0.223022,0.0,0.111111,0.092233,0.0,0.25,0.143552,0.134259,0.131448,0.091644,0.128085,0.122449,0.135204,0.114286,0.043084,0.11399
Cidofovir,0.22807,0.296296,0.528926,0.528926,0.0,0.175214,0.057971,0.088957,0.101399,0.068249,0.139241,0.079545,0.428571,0.036717,0.267606,0.158192,1.0,0.396226,0.070423,0.054795,0.161417,0.0,0.137339,0.076923,0.293706,0.078167,0.148649,0.161137,0.396226,0.120219,0.063084,0.13082,0.434426,0.495726,0.0,0.23839,0.156627,0.051248,0.25,0.115385,0.0,0.191919,0.237113,0.37037,0.0,0.051282,0.054054,0.166667,0.0,0.122449,0.463415,0.258278,0.058452,0.077441,0.0,0.0,0.0,0.0,0.0,0.465517,0.099476,0.078224,0.084906,0.0,0.032787,0.075441,0.109023,0.242938,0.060606,0.0,0.117216,0.178161,0.0,0.108033,0.0,0.06383,0.073298,0.082251,0.0,0.275862,0.051282,0.190476,0.085193,0.177945,0.037924,0.142857,0.105263,0.228669,0.165049,0.0,0.075758,0.119874,0.054092,0.0,0.206897,0.372549,0.228669,0.042553,0.14786,0.097372,0.411765,0.570248,0.305419,0.330049,0.281513,0.099476,0.0,0.368421,0.152738,0.0,0.123853,0.2,0.294118,0.162362,0.027027,0.100363,0.282895,0.05,0.524664,0.102151,0.338028
